Species,longitude,latitude
Ceropegia hirsuta Wight & Arn.,74.102195,16.370383
Ceropegia hirsuta Wight & Arn.,75.724918,13.383496
Ceropegia hirsuta Wight & Arn.,75.678598,12.649571
Ceropegia hirsuta Wight & Arn.,77.677151,13.437611
Ceropegia hirsuta Wight & Arn.,76.535802,11.056308
Ceropegia hirsuta Wight & Arn.,73.88255,16.551049
Ceropegia hirsuta Wight & Arn.,74.264303,16.111674
Ceropegia hirsuta Wight & Arn.,74.212206,16.622129
Ceropegia hirsuta Wight & Arn.,74.103125,16.812425
Ceropegia hirsuta Wight & Arn.,74.237561,17.403462
Ceropegia hirsuta Wight & Arn.,73.558494,16.021145
Ceropegia hirsuta Wight & Arn.,73.818423,17.728723
Ceropegia hirsuta Wight & Arn.,74.084713,17.284951
Ceropegia hirsuta Wight & Arn.,73.626843,15.864014
Ceropegia huberi Ansari,73.796274,16.762899
Ceropegia huberi Ansari,73.807223,16.558601
Ceropegia huberi Ansari,73.830331,16.536516
Ceropegia huberi Ansari,73.828972,16.52548
Ceropegia huberi Ansari,73.832004,16.528101
Ceropegia huberi Ansari,74.291165,15.797181
Ceropegia huberi Ansari,73.788818,16.946083
Ceropegia huberi Ansari,73.795161,16.942757
Ceropegia huberi Ansari,73.518479,18.495812
Ceropegia huberi Ansari,73.513621,18.491749
Ceropegia huberi Ansari,73.660365,18.106461
Ceropegia lawii Hook.f.,73.775754,19.400018
Ceropegia lawii Hook.f.,73.772705,19.419739
Ceropegia lawii Hook.f.,73.781004,19.42137
Ceropegia lawii Hook.f.,73.5735395,19.921962
Ceropegia lawii Hook.f.,73.579928,19.900414
Ceropegia maccannii Ansari,73.621641,18.28417
Ceropegia maccannii Ansari,73.626528,18.285876
Ceropegia maccannii Ansari,73.642963,18.285361
Ceropegia maccannii Ansari,73.629654,18.268359
Ceropegia maccannii Ansari,73.601897,18.262358
Ceropegia maccannii Ansari,73.608736,18.137644
Ceropegia media (Huber) M.Y.Ansari,73.929332,19.535512
Ceropegia media (Huber) M.Y.Ansari,73.672462,18.107323
Ceropegia media (Huber) M.Y.Ansari,73.786175,17.041094
Ceropegia media (Huber) M.Y.Ansari,73.848169,17.725546
Ceropegia media (Huber) M.Y.Ansari,73.838861,17.732385
Ceropegia media (Huber) M.Y.Ansari,73.849985,17.598646
Ceropegia media (Huber) M.Y.Ansari,73.853997,17.593608
Ceropegia oculata Hook.,74.096421,16.813645
Ceropegia oculata Hook.,74.083449,16.815849
Ceropegia oculata Hook.,74.067438,16.817146
Ceropegia oculata Hook.,74.108358,16.283912
Ceropegia oculata Hook.,73.943953,16.123614
Ceropegia oculata Hook.,73.987111,16.422905
Ceropegia oculata Hook.,73.36836,16.614216
Ceropegia oculata Hook.,73.778994,19.338428
Ceropegia oculata Hook.,73.507656,18.487904
Ceropegia oculata Hook.,73.674707,18.2323
Ceropegia oculata Hook.,73.820258,16.382712
Ceropegia oculata Hook.,73.846749,16.359592
Ceropegia oculata Hook.,73.500265,16.594269
Ceropegia odorata Nimmo ex J. Graham,76.47575,21.437431
Ceropegia odorata Nimmo ex J. Graham,73.348858,18.897512
Ceropegia odorata Nimmo ex J. Graham,73.476044,19.67259
Ceropegia omissa H. Huber,76.889532,9.807594
Ceropegia panchganiensis Blatter & McCann,73.646419,17.922846
Ceropegia panchganiensis Blatter & McCann,73.804966,17.924899
Ceropegia panchganiensis Blatter & McCann,73.807488,17.919116
Ceropegia panchganiensis Blatter & McCann,73.816041,17.929004
Ceropegia panchganiensis Blatter & McCann,73.826914,17.932712
Ceropegia pullaiahii Raja Kullayisw.,78.203611,14.226333
Ceropegia pullaiahii Raja Kullayisw.,78.20432,14.219153
Ceropegia rollae Hemadri,73.671874,19.333628
Ceropegia rollae Hemadri,73.788377,17.240138
Ceropegia rollae Hemadri,73.874295,19.19265
Ceropegia rollae Hemadri,73.74196,17.267163
Ceropegia rollae Hemadri,73.610671,18.138459
Ceropegia rollae Hemadri,73.637969,18.150582
Ceropegia rollae Hemadri,73.675109,18.715897
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.980135,16.198677
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,74.162599,15.805834
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.357197,18.736
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.62819,18.266916
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.603608,18.259659
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.623385,18.259509
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.62427,18.288737
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.43993,18.237264
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.689359,17.158176
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.693688,17.246434
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.764213,17.280893
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.820978,17.115656
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.840557,16.50795
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.787688,16.766647
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.778679,16.572857
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.836064,16.512692
